,Tuition,UG,SAT_AVG_ALL,PCTPELL
364,11870.0,6747.0,1047.0,0.3767
365,9808.0,7487.0,1069.0,0.3303
366,8966.0,10838.0,1068.0,0.3339
367,17342.0,917.0,965.0,0.4474
368,19081.0,1098.0,970.0,0.4474
369,18750.0,1272.0,1016.0,0.2905
370,20660.0,638.0,970.0,0.5333
371,10948.0,13235.0,1047.0,0.3539
372,25112.0,858.0,1114.0,0.3454
373,17715.0,1953.0,888.0,0.7725
374,16527.0,4289.0,871.0,0.8128
375,7370.0,2386.0,950.0,0.4197
376,11355.0,26121.0,1163.0,0.2028
377,6932.0,3422.0,1029.0,0.357
378,14202.0,1125.0,969.0,0.4213
379,9233.0,8921.0,1105.0,0.2147
380,24610.0,3688.0,1134.0,0.3101
381,9485.0,6703.0,1029.0,0.3489
382,8891.0,12260.0,1034.0,0.3251
383,10625.0,6556.0,1030.0,0.3793
384,7859.0,8033.0,1054.0,0.3448
385,9966.0,8270.0,1008.0,0.3995
386,15881.0,1053.0,1010.0,0.3335
387,10254.0,12916.0,1030.0,0.3355
388,12666.0,7769.0,911.0,0.6776
389,8224.0,3573.0,803.0,0.7451
390,9459.0,14091.0,1069.0,0.3203
391,32475.0,7353.0,1346.0,0.1518
392,17222.0,3284.0,1050.0,0.5329
393,25530.0,1814.0,1363.0,0.1132
394,13012.0,886.0,885.0,0.324
395,15955.0,8220.0,1090.0,0.3297
396,23175.0,710.0,1050.0,0.2937
397,31266.0,1222.0,1070.0,0.195
398,26358.0,3322.0,989.0,0.221
399,16528.0,8726.0,984.0,0.3672
400,14473.0,2016.0,972.0,0.4428
401,13737.0,3109.0,883.0,0.5222
402,15471.0,684.0,1023.0,0.3429
403,16307.0,1030.0,821.0,0.5183
404,9055.0,3092.0,888.0,0.6215
405,17186.0,4430.0,955.0,0.3628
406,34455.0,5278.0,1453.0,0.1229
407,18827.0,9101.0,1209.0,0.2766
408,15634.0,24638.0,1315.0,0.1941
409,36948.0,1588.0,1140.0,0.2322
410,15453.0,2969.0,834.0,0.5431
411,16225.0,5685.0,878.0,0.62
412,29049.0,1500.0,1013.0,0.2033
413,19354.0,1930.0,1087.0,0.3011
414,21049.0,1547.0,1145.0,0.1756
415,17516.0,13905.0,1081.0,0.2652
416,26475.0,2185.0,1006.0,0.317
417,20096.0,1610.0,1074.0,0.3107
418,20943.0,1102.0,887.0,0.5187
419,18848.0,1695.0,1451.0,0.2254
420,31884.0,1751.0,1317.0,0.1628
421,23874.0,108.0,943.0,0.4419
422,27752.0,1166.0,1009.0,0.3919
423,32713.0,4316.0,1244.0,0.1562
424,33661.0,9764.0,1380.0,0.125
425,34910.0,17819.0,1303.0,0.1317
426,28370.0,3282.0,1360.0,0.196
427,18745.0,7080.0,996.0,0.3691
428,29464.0,2218.0,941.0,0.2552
429,18677.0,1203.0,978.0,0.4981
430,39148.0,3168.0,1211.0,0.1642
431,13923.0,3238.0,993.0,0.3846
432,17967.0,4042.0,975.0,0.3183
433,27418.0,1528.0,1112.0,0.22
434,17882.0,9884.0,1497.0,0.1165
435,24150.0,841.0,966.0,0.3276
436,30616.0,1763.0,1066.0,0.2639
437,18005.0,9543.0,1197.0,0.281
438,18869.0,19061.0,1226.0,0.2368
439,11789.0,10442.0,1055.0,0.4185
440,35360.0,1427.0,1070.0,0.2965
441,22323.0,2221.0,1086.0,0.2705
442,22968.0,4258.0,1507.0,0.1786
443,17224.0,830.0,1065.0,0.187
444,26850.0,1196.0,906.0,0.3729
445,16069.0,1387.0,1016.0,0.4654
446,28869.0,19588.0,1435.0,0.124
447,21102.0,641.0,976.0,0.434
448,22810.0,370.0,775.0,0.5236
449,29461.0,1186.0,1163.0,0.2509
450,27047.0,3371.0,1042.0,0.2315
451,16517.0,6423.0,1025.0,0.3967
452,29563.0,3438.0,1024.0,0.2939
453,29565.0,4886.0,1424.0,0.1198
454,25429.0,2287.0,1369.0,0.1937
455,35232.0,3187.0,1104.0,0.2643
456,28053.0,3136.0,1080.0,0.295
457,16808.0,4276.0,1001.0,0.2751
458,27466.0,636.0,944.0,0.3786
459,23924.0,2020.0,1442.0,0.1805
460,17495.0,4569.0,1020.0,0.3006
461,23128.0,1081.0,1008.0,0.4145
462,22232.0,1525.0,1104.0,0.2737
463,22080.0,1409.0,1110.0,0.3037
464,21177.0,1736.0,1091.0,0.2726
465,16624.0,2021.0,1090.0,0.3253
466,24177.0,4263.0,1202.0,0.226
467,14509.0,18620.0,1049.0,0.3543
468,10182.0,337.0,950.0,0.4671
469,20434.0,590.0,1052.0,0.3577
470,33309.0,1086.0,1070.0,0.3405
471,22524.0,3830.0,1122.0,0.2922
472,12675.0,18189.0,1029.0,0.4388
473,13306.0,9235.0,1009.0,0.4009
474,34029.0,2632.0,1204.0,0.2465
475,18505.0,1592.0,1033.0,0.4043
476,16491.0,15211.0,1090.0,0.3468
477,23994.0,3015.0,1205.0,0.2055
478,10381.0,3068.0,1027.0,0.3913
479,26876.0,2975.0,1156.0,0.1726
480,14104.0,3130.0,1030.0,0.3288
481,14455.0,914.0,780.0,0.6942
482,16211.0,794.0,949.0,0.4686
483,14521.0,24412.0,1384.0,0.1538
484,16788.0,34342.0,1159.0,0.2211
485,15237.0,5666.0,1207.0,0.252
486,12220.0,6615.0,1105.0,0.44
487,14223.0,5786.0,992.0,0.4199
488,12468.0,7575.0,1011.0,0.3738
489,22526.0,3657.0,1026.0,0.4131
490,11929.0,12002.0,1070.0,0.3165
491,20320.0,977.0,931.0,0.491
492,17932.0,51.0,1010.0,0.4142
493,14579.0,7059.0,1030.0,0.4095
494,16683.0,1713.0,1027.0,0.3963
495,18156.0,2125.0,1073.0,0.4478
496,23275.0,383.0,886.0,0.5274
497,13258.0,18093.0,1070.0,0.4649
498,16870.0,22756.0,1030.0,0.3829
499,23536.0,2913.0,1032.0,0.4002
500,14720.0,3889.0,1010.0,0.3378
501,16294.0,440.0,1074.0,0.3936
502,26602.0,2652.0,1127.0,0.2571
503,28892.0,1936.0,1400.0,0.1313
504,17612.0,1026.0,1145.0,0.3523
505,21150.0,1851.0,1127.0,0.3622
506,24934.0,1794.0,1358.0,0.1655
507,15178.0,11165.0,1030.0,0.2816
508,17015.0,31824.0,1285.0,0.2026
509,13075.0,2775.0,1026.0,0.2204
510,25795.0,580.0,1096.0,0.369
511,16551.0,8400.0,1109.0,0.2343
512,13418.0,1842.0,1146.0,0.2807
513,15240.0,7044.0,1049.0,0.3033
514,19196.0,1168.0,1024.0,0.4052
515,23664.0,2081.0,1102.0,0.2216
516,17400.0,150.0,930.0,0.5887
517,23305.0,2024.0,1118.0,0.2401
518,13786.0,13949.0,1030.0,0.295
519,22530.0,1880.0,1148.0,0.1923
520,20200.0,1693.0,1046.0,0.2516
